Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration,Year of Issue (Estimated),Year of Move (Estimated)
1983,F,BELLEVUE,WA,98006,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1994,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2031,2023,2030
1987,F,NORMANDY PARK,WA,98166,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1971,M,SEATTLE,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1994,F,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1963,F,SAMMAMISH,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1983,F,LAKEWOOD,WA,98498,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1991,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1983,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1976,M,SEATTLE,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1979,M,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1995,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1968,M,BELLINGHAM,WA,98225,OUT-OF-STATE,DM,SURRENDERED,FULL,2030,2022,2029
1972,M,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1993,F,LIBERTY LAKE,WA,99019,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1978,F,WOODINVILLE,WA,98072,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1990,M,SEATTLE,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1991,F,LYNNWOOD,WA,98036,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1962,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1994,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
2001,F,BELLINGHAM,WA,98226,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1987,M,SEATTLE,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1990,M,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1991,M,REDMOND,WA,98053,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1989,M,TACOMA,WA,98466,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1951,M,SPOKANE VALLEY,WA,99037,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1969,M,SEATTLE,WA,98177,OUT-OF-STATE,DM,SURRENDERED,FULL,2026,2018,2025
1980,M,SEATTLE,WA,98178,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1980,M,MCCHORD AFB,WA,98439,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1985,M,SEATTLE,WA,98102,OUT-OF-STATE,DM,SURRENDERED,FULL,2028,2020,2027
1996,M,PULLMAN,WA,99163,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1969,F,UNIVERSITY PLACE,WA,98466,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1996,F,KENT,WA,98031,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1975,M,AIRWAY HGTS,WA,99001,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1991,F,SAMMAMISH,WA,98029,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1978,M,PORT ANGELES,WA,98363,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1973,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1996,F,SEATTLE,WA,98102,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1948,F,SEATTLE,WA,98126,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1988,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1984,M,LAKEWOOD,WA,98498,OUT-OF-STATE,E,SURRENDERED,FULL,2025,2017,2024
1946,M,RENTON,WA,98055,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1996,F,LYNNWOOD,WA,98087,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1990,M,SEATTLE,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1962,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
