Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration
1979,F,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1995,M,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1990,F,kent,WA,98032,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1963,F,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1983,F,seattle,WA,98103,OUT-OF-STATE,D,VALID,FULL,2029
1989,M,seattle,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1992,M,bellevue,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1944,F,seattle,WA,98118,OUT-OF-STATE,D,VALID,FULL,2026
1987,M,kirkland,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1996,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1998,M,seattle,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1998,M,seattle,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1985,F,renton,WA,98059,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1965,F,bellevue,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1979,M,seattle,WA,98103,OUT-OF-STATE,D,VALID,FULL,2026
1986,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1991,M,des moines,WA,98148,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1980,M,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1987,M,redmond,WA,98052,OUT-OF-STATE,D,VALID,FULL,2026
1987,M,seattle,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1997,M,seattle,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1996,F,seattle,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2031
1999,M,seattle,WA,98144,OUT-OF-STATE,D,VALID,FULL,2030
1989,M,maple valley,WA,98038,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1993,M,seattle,WA,98121,OUT-OF-STATE,D,SUSPENDED,FULL,2028
1964,F,seattle,WA,98121,OUT-OF-STATE,D,VALID,FULL,2025
1996,F,redmond,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1992,M,seattle,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1985,F,shoreline,WA,98177,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1991,F,seattle,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1993,M,seattle,WA,98103,OUT-OF-STATE,D,VALID,FULL,2025
